# ID_V                   ID_I                      RA             DEC
  0115.472_1035.115V     0114.941_1034.979i   17:40:19.797   -53:34:49.85
  0115.686_0321.028V     0115.126_0321.052i   17:40:20.142   -53:40:44.50
  0116.013_0660.481V     0114.766_0660.799i   17:40:20.002   -53:37:55.91
  0116.429_0240.083V     0115.831_0240.007i   17:40:20.221   -53:41:24.70
  0118.104_0481.496V     0117.461_0481.276i   17:40:20.202   -53:39:24.79
  0118.175_0510.670V     0117.391_0510.447i   17:40:20.193   -53:39:10.30
  0118.780_0414.466V     0118.081_0414.330i   17:40:20.271   -53:39:58.08
  0118.963_0034.296V     0118.483_0033.952i   17:40:20.460   -53:43:06.89
  0119.172_0452.713V     0118.525_0452.605i   17:40:20.275   -53:39:39.08
  0119.346_0614.999V     0118.570_0614.912i   17:40:20.209   -53:38:18.48
  0119.403_0107.261V     0118.793_0107.058i   17:40:20.450   -53:42:30.65
  0119.657_0078.364V     0119.051_0078.169i   17:40:20.478   -53:42:45.00
  0120.288_0060.509V     0119.692_0060.368i   17:40:20.521   -53:42:53.87
  0120.807_0271.045V     0120.170_0270.830i   17:40:20.452   -53:41:09.30
  0120.929_0656.626V     0120.216_0656.520i   17:40:20.278   -53:37:57.80
  0120.973_0603.922V     0120.315_0603.610i   17:40:20.305   -53:38:23.98
  0121.084_0853.112V     0121.348_0852.977i   17:40:20.195   -53:36:20.22
  0121.169_0145.940V     0120.836_0145.287i   17:40:20.531   -53:42:11.44
  0121.196_0218.759V     0120.557_0218.534i   17:40:20.498   -53:41:35.27
  0121.318_0492.366V     0120.427_0492.193i   17:40:20.377   -53:39:19.38
  0121.346_0381.143V     0120.586_0380.961i   17:40:20.430   -53:40:14.62
  0121.456_0990.973V     0120.800_0990.700i   17:40:20.152   -53:35:11.75
  0121.468_0301.247V     0120.764_0301.078i   17:40:20.475   -53:40:54.30
  0123.192_0038.303V     0122.572_0037.963i   17:40:20.694   -53:43:04.88
  0123.277_0826.287V     0123.632_0826.175i   17:40:20.330   -53:36:33.53
  0123.337_0400.443V     0122.754_0400.255i   17:40:20.533   -53:40:05.03
  0123.827_0622.143V     0123.038_0621.900i   17:40:20.456   -53:38:14.92
  0124.283_0465.706V     0123.499_0465.610i   17:40:20.555   -53:39:32.61
  0125.167_0550.595V     0124.494_0550.523i   17:40:20.565   -53:38:50.45
  0125.194_0554.865V     0124.699_0554.737i   17:40:20.564   -53:38:48.33
  0125.898_0637.545V     0125.296_0637.482i   17:40:20.565   -53:38:07.26
  0126.127_0274.588V     0125.385_0274.534i   17:40:20.748   -53:41:07.52
  0126.947_1070.252V     0126.369_1070.058i   17:40:20.421   -53:34:32.35
  0127.659_0540.276V     0126.915_0540.167i   17:40:20.709   -53:38:55.56
  0128.377_0086.906V     0127.397_0086.676i   17:40:20.962   -53:42:40.72
  0129.373_0470.355V     0128.809_0470.195i   17:40:20.837   -53:39:30.28
  0129.462_0838.938V     0129.809_0838.751i   17:40:20.669   -53:36:27.22
  0130.215_0199.142V     0129.444_0199.099i   17:40:21.012   -53:41:44.97
  0130.458_0027.305V     0129.773_0027.151i   17:40:21.106   -53:43:10.32
  0130.707_0459.922V     0129.986_0459.796i   17:40:20.917   -53:39:35.46
  0130.767_0363.686V     0130.081_0363.607i   17:40:20.965   -53:40:23.25
  0131.393_0216.831V     0130.639_0216.734i   17:40:21.069   -53:41:36.18
  0131.555_0049.253V     0131.049_0048.992i   17:40:21.157   -53:42:59.41
  0131.570_0315.555V     0130.691_0315.436i   17:40:21.033   -53:40:47.15
  0131.629_0407.015V     0130.954_0406.861i   17:40:20.993   -53:40:01.73
  0132.387_0789.696V     0132.782_0789.493i   17:40:20.856   -53:36:51.67
  0132.550_0393.392V     0131.744_0393.050i   17:40:21.051   -53:40:08.49
  0132.764_0694.367V     0132.115_0694.245i   17:40:20.921   -53:37:39.01
  0133.452_0701.801V     0132.821_0701.669i   17:40:20.956   -53:37:35.32
  0133.849_0319.371V     0133.085_0319.373i   17:40:21.158   -53:40:45.25
  0133.951_0077.262V     0133.338_0077.379i   17:40:21.278   -53:42:45.49
  0133.966_0543.422V     0133.243_0543.312i   17:40:21.059   -53:38:53.97
  0134.981_0035.944V     0134.351_0035.739i   17:40:21.355   -53:43:06.01
  0135.139_0482.515V     0134.396_0482.367i   17:40:21.154   -53:39:24.22
  0135.870_0201.011V     0135.198_0200.845i   17:40:21.327   -53:41:44.02
  0135.997_0224.318V     0135.359_0224.184i   17:40:21.323   -53:41:32.45
  0136.043_0657.677V     0135.385_0657.581i   17:40:21.122   -53:37:57.22
  0136.939_0522.666V     0135.779_0523.320i   17:40:21.235   -53:39:04.27
  0137.184_0070.141V     0136.124_0070.214i   17:40:21.462   -53:42:49.01
  0137.249_0145.155V     0136.661_0145.009i   17:40:21.430   -53:42:11.76
  0137.753_0562.559V     0137.042_0562.510i   17:40:21.262   -53:38:44.45
  0138.238_0847.558V     0138.650_0847.486i   17:40:21.155   -53:36:22.91
  0138.311_0321.164V     0137.679_0321.106i   17:40:21.407   -53:40:44.34
  0138.632_0247.472V     0138.003_0247.275i   17:40:21.459   -53:41:20.94
  0138.716_0153.575V     0137.975_0153.406i   17:40:21.508   -53:42:07.57
  0138.978_0310.959V     0138.206_0310.807i   17:40:21.449   -53:40:49.40
  0139.470_0467.648V     0138.758_0467.541i   17:40:21.403   -53:39:31.58
  0139.620_0375.035V     0138.856_0374.911i   17:40:21.455   -53:40:17.58
  0140.380_0261.584V     0139.974_0261.530i   17:40:21.551   -53:41:13.92
  0140.412_0881.655V     0140.785_0881.543i   17:40:21.260   -53:36:05.96
  0140.414_0406.267V     0139.711_0406.166i   17:40:21.484   -53:40:02.06
  0140.493_0158.053V     0139.802_0157.930i   17:40:21.606   -53:42:05.34
  0141.073_0266.687V     0140.358_0266.545i   17:40:21.587   -53:41:11.38
  0142.168_0688.443V     0141.480_0688.319i   17:40:21.449   -53:37:41.91
  0142.458_0535.222V     0141.777_0535.170i   17:40:21.538   -53:38:58.01
  0142.666_0100.119V     0142.004_0099.910i   17:40:21.755   -53:42:34.10
  0142.919_0057.153V     0142.307_0056.976i   17:40:21.789   -53:42:55.44
  0142.958_0602.884V     0142.241_0602.728i   17:40:21.534   -53:38:24.40
  0143.015_0120.210V     0142.425_0120.125i   17:40:21.765   -53:42:24.12
  0143.258_0196.644V     0142.570_0196.613i   17:40:21.742   -53:41:46.16
  0143.653_0364.391V     0142.857_0364.349i   17:40:21.685   -53:40:22.85
  0143.664_0518.885V     0143.033_0518.727i   17:40:21.613   -53:39:06.12
  0143.971_0344.537V     0143.228_0344.310i   17:40:21.712   -53:40:32.71
  0144.245_0115.480V     0143.604_0115.442i   17:40:21.836   -53:42:26.47
  0144.532_0402.226V     0142.608_0400.889i   17:40:21.716   -53:40:04.05
  0144.694_0435.253V     0144.033_0435.117i   17:40:21.710   -53:39:47.65
  0145.337_0514.074V     0144.756_0513.975i   17:40:21.708   -53:39:08.50
  0145.685_0522.588V     0145.025_0522.489i   17:40:21.724   -53:39:04.27
  0146.150_0508.929V     0145.678_0508.894i   17:40:21.756   -53:39:11.05
  0146.323_1081.873V     0145.718_1081.756i   17:40:21.496   -53:34:26.50
  0146.896_0150.359V     0146.241_0150.348i   17:40:21.968   -53:42:09.13
  0147.250_0545.547V     0146.399_0545.476i   17:40:21.800   -53:38:52.86
  0147.474_0494.467V     0146.774_0494.333i   17:40:21.837   -53:39:18.23
  0147.559_0224.098V     0146.880_0223.948i   17:40:21.970   -53:41:32.51
  0148.547_0362.491V     0147.780_0362.422i   17:40:21.959   -53:40:23.77
  0148.870_0304.073V     0148.121_0303.904i   17:40:22.005   -53:40:52.78
  0149.043_0128.230V     0148.274_0128.050i   17:40:22.098   -53:42:20.11
  0149.044_0868.998V     0149.334_0868.860i   17:40:21.748   -53:36:12.21
  0149.285_0029.650V     0148.639_0029.480i   17:40:22.158   -53:43:09.07
  0149.801_0636.762V     0149.177_0636.695i   17:40:21.900   -53:38:07.55
  0149.980_0687.244V     0149.305_0687.120i   17:40:21.886   -53:37:42.48
  0150.004_0392.203V     0148.860_0392.062i   17:40:22.027   -53:40:09.01
  0150.253_0591.163V     0149.559_0590.951i   17:40:21.947   -53:38:30.19
  0150.511_0368.221V     0149.791_0368.098i   17:40:22.066   -53:40:20.92
  0150.538_0421.680V     0149.938_0421.466i   17:40:22.043   -53:39:54.37
  0151.101_0780.906V     0151.527_0780.613i   17:40:21.904   -53:36:55.95
  0151.105_0287.401V     0150.358_0287.279i   17:40:22.138   -53:41:01.05
  0151.244_0332.892V     0150.370_0332.719i   17:40:22.124   -53:40:38.46
  0151.328_0585.308V     0150.618_0585.188i   17:40:22.009   -53:38:33.10
