# ID_V                   ID_I                      RA             DEC
  0766.300_0279.810V     0765.248_0279.843i   17:40:56.535   -53:41:01.93
  0767.093_0135.381V     0766.111_0135.586i   17:40:56.664   -53:42:13.65
  0767.702_0227.960V     0766.971_0227.987i   17:40:56.644   -53:41:27.67
  0767.846_0168.540V     0767.102_0168.561i   17:40:56.687   -53:41:57.18
  0767.971_0238.469V     0767.185_0238.598i   17:40:56.653   -53:41:22.45
  0767.978_0696.876V     0767.144_0696.897i   17:40:56.384   -53:37:34.78
  0768.039_0068.409V     0767.303_0068.209i   17:40:56.756   -53:42:46.91
  0768.382_0689.498V     0767.545_0689.505i   17:40:56.411   -53:37:38.45
  0768.474_0775.341V     0767.643_0775.399i   17:40:56.366   -53:36:55.81
  0768.632_0567.230V     0767.629_0567.605i   17:40:56.497   -53:38:39.17
  0768.636_0316.918V     0767.823_0316.914i   17:40:56.644   -53:40:43.48
  0768.682_0185.996V     0767.794_0186.020i   17:40:56.723   -53:41:48.50
  0769.243_0395.590V     0768.545_0395.688i   17:40:56.631   -53:40:04.41
  0769.618_0209.178V     0768.916_0209.106i   17:40:56.762   -53:41:36.99
  0769.622_1144.664V     0768.955_1144.524i   17:40:56.214   -53:33:52.39
  0769.712_0730.991V     0768.910_0730.993i   17:40:56.461   -53:37:17.83
  0769.742_0415.227V     0768.906_0415.056i   17:40:56.648   -53:39:54.65
  0769.771_0656.821V     0768.742_0656.817i   17:40:56.508   -53:37:54.67
  0769.990_0296.599V     0769.164_0296.500i   17:40:56.731   -53:40:53.57
  0770.082_1106.370V     0769.373_1106.319i   17:40:56.262   -53:34:11.40
  0770.264_0123.502V     0769.354_0123.790i   17:40:56.848   -53:42:19.53
  0770.267_0193.756V     0769.504_0193.530i   17:40:56.807   -53:41:44.64
  0770.335_0531.389V     0769.472_0531.353i   17:40:56.613   -53:38:56.96
  0770.402_0088.211V     0769.653_0088.137i   17:40:56.877   -53:42:37.06
  0770.457_0564.014V     0769.178_0564.680i   17:40:56.601   -53:38:40.76
  0770.499_0627.393V     0769.497_0627.355i   17:40:56.566   -53:38:09.28
  0770.556_0635.159V     0769.658_0635.112i   17:40:56.564   -53:38:05.42
  0770.635_0584.526V     0769.794_0584.493i   17:40:56.598   -53:38:30.57
  0771.178_0647.805V     0770.383_0647.852i   17:40:56.592   -53:37:59.14
  0771.186_0542.277V     0770.300_0542.328i   17:40:56.654   -53:38:51.55
  0771.313_0865.889V     0770.506_0865.868i   17:40:56.471   -53:36:10.83
  0771.388_0333.860V     0770.078_0333.822i   17:40:56.788   -53:40:35.06
  0771.455_0495.270V     0770.655_0495.203i   17:40:56.697   -53:39:14.89
  0771.961_0674.162V     0771.121_0674.173i   17:40:56.620   -53:37:46.04
  0772.084_0217.637V     0771.227_0217.652i   17:40:56.895   -53:41:32.77
  0772.135_0745.999V     0771.313_0745.984i   17:40:56.588   -53:37:10.37
  0772.229_0605.654V     0771.438_0605.632i   17:40:56.675   -53:38:20.07
  0772.349_0403.397V     0771.603_0403.338i   17:40:56.800   -53:40:00.52
  0773.326_0464.221V     0772.502_0464.393i   17:40:56.819   -53:39:30.30
  0773.546_1079.256V     0772.874_1079.154i   17:40:56.471   -53:34:24.85
  0773.893_0345.763V     0773.185_0345.733i   17:40:56.921   -53:40:29.13
  0774.115_0314.053V     0773.380_0314.010i   17:40:56.952   -53:40:44.88
  0774.554_0762.769V     0773.739_0762.795i   17:40:56.713   -53:37:02.03
  0774.776_0499.323V     0773.936_0499.324i   17:40:56.880   -53:39:12.86
  0774.809_0143.739V     0774.003_0143.686i   17:40:57.091   -53:42:09.46
  0775.282_0837.077V     0774.281_0837.150i   17:40:56.710   -53:36:25.12
  0775.325_0539.065V     0774.511_0539.040i   17:40:56.887   -53:38:53.12
  0775.900_0475.951V     0775.123_0476.009i   17:40:56.956   -53:39:24.46
  0776.030_0235.510V     0775.276_0235.903i   17:40:57.105   -53:41:23.88
  0776.165_0530.247V     0775.414_0530.179i   17:40:56.939   -53:38:57.50
  0776.473_0186.707V     0775.574_0186.755i   17:40:57.158   -53:41:48.11
  0776.649_0152.868V     0775.833_0152.798i   17:40:57.188   -53:42:04.92
  0776.664_0741.089V     0775.843_0741.119i   17:40:56.843   -53:37:12.78
  0777.315_1026.652V     0776.568_1026.609i   17:40:56.712   -53:34:50.96
  0777.393_0685.830V     0776.436_0685.812i   17:40:56.916   -53:37:40.22
  0777.394_0335.434V     0776.210_0335.217i   17:40:57.122   -53:40:34.24
  0777.633_0454.490V     0777.044_0454.380i   17:40:57.066   -53:39:35.11
  0777.670_0767.653V     0776.678_0766.484i   17:40:56.884   -53:36:59.58
  0778.072_0085.095V     0777.288_0085.082i   17:40:57.308   -53:42:38.57
  0778.122_0999.071V     0777.446_0999.102i   17:40:56.773   -53:35:04.65
  0778.156_0650.216V     0777.347_0650.242i   17:40:56.980   -53:37:57.91
  0778.340_0569.244V     0777.505_0569.403i   17:40:57.038   -53:38:38.12
  0779.019_0412.825V     0778.184_0412.826i   17:40:57.168   -53:39:55.80
  0779.022_0095.660V     0778.317_0095.400i   17:40:57.355   -53:42:33.31
  0779.416_0585.703V     0778.555_0585.676i   17:40:57.088   -53:38:29.94
  0779.588_0328.281V     0778.737_0328.466i   17:40:57.249   -53:40:37.78
  0779.589_0066.536V     0778.895_0066.395i   17:40:57.404   -53:42:47.78
  0780.066_1016.026V     0779.195_1015.892i   17:40:56.872   -53:34:56.22
  0780.085_0317.620V     0779.286_0317.615i   17:40:57.283   -53:40:43.08
  0780.087_0295.348V     0779.248_0295.237i   17:40:57.297   -53:40:54.14
  0780.106_0405.307V     0779.240_0405.277i   17:40:57.233   -53:39:59.53
  0780.142_0222.755V     0779.286_0222.718i   17:40:57.342   -53:41:30.19
  0780.145_0931.295V     0779.322_0931.221i   17:40:56.926   -53:35:38.30
  0780.325_0265.020V     0779.509_0264.948i   17:40:57.328   -53:41:09.20
  0780.347_0240.068V     0779.598_0240.052i   17:40:57.344   -53:41:21.59
  0780.472_0285.030V     0779.656_0284.979i   17:40:57.324   -53:40:59.26
  0780.517_0639.939V     0779.706_0639.913i   17:40:57.118   -53:38:03.00
  0780.782_0202.773V     0779.920_0202.724i   17:40:57.390   -53:41:40.11
  0781.397_0383.671V     0780.526_0383.615i   17:40:57.318   -53:40:10.26
  0782.211_0441.074V     0781.120_0442.249i   17:40:57.329   -53:39:41.75
  0782.253_1062.363V     0781.521_1062.177i   17:40:56.967   -53:34:33.20
  0782.445_0461.457V     0781.593_0461.474i   17:40:57.330   -53:39:31.63
  0782.728_0566.123V     0781.900_0566.111i   17:40:57.285   -53:38:39.65
  0783.308_0512.672V     0782.398_0512.531i   17:40:57.349   -53:39:06.19
  0783.834_0815.918V     0783.035_0815.944i   17:40:57.199   -53:36:35.58
  0784.623_0823.812V     0783.070_0824.598i   17:40:57.239   -53:36:31.66
  0784.784_0403.093V     0783.939_0403.043i   17:40:57.496   -53:40:00.60
  0785.360_0214.774V     0784.519_0214.646i   17:40:57.639   -53:41:34.13
  0785.508_0342.663V     0784.654_0342.617i   17:40:57.572   -53:40:30.61
  0785.527_0369.261V     0784.723_0369.323i   17:40:57.557   -53:40:17.40
  0785.751_0193.050V     0785.053_0193.077i   17:40:57.674   -53:41:44.91
  0786.001_0560.491V     0784.751_0561.004i   17:40:57.471   -53:38:42.42
  0786.069_0356.623V     0785.188_0356.511i   17:40:57.595   -53:40:23.67
  0786.118_0580.877V     0785.155_0581.048i   17:40:57.465   -53:38:32.30
  0786.924_0042.411V     0786.022_0042.434i   17:40:57.828   -53:42:59.72
  0787.153_0122.332V     0786.354_0122.248i   17:40:57.794   -53:42:20.03
  0787.704_0520.282V     0786.842_0520.217i   17:40:57.590   -53:39:02.39
  0787.913_0261.788V     0787.038_0261.579i   17:40:57.754   -53:41:10.76
  0788.021_0909.471V     0787.235_0909.446i   17:40:57.378   -53:35:49.10
  0788.053_0869.168V     0787.306_0869.052i   17:40:57.404   -53:36:09.11
  0788.317_0446.049V     0787.523_0446.057i   17:40:57.668   -53:39:39.25
  0788.417_0375.178V     0787.577_0374.930i   17:40:57.715   -53:40:14.45
  0788.716_0967.151V     0787.911_0967.024i   17:40:57.383   -53:35:20.45
  0788.823_0652.973V     0787.994_0652.966i   17:40:57.574   -53:37:56.48
  0788.839_0755.110V     0788.099_0755.176i   17:40:57.515   -53:37:05.75
  0788.922_0405.180V     0787.791_0405.090i   17:40:57.726   -53:39:59.54
  0788.993_1085.362V     0788.357_1085.235i   17:40:57.329   -53:34:21.74
  0789.095_0942.522V     0788.293_0942.513i   17:40:57.419   -53:35:32.68
  0789.180_0902.531V     0788.453_0902.452i   17:40:57.447   -53:35:52.54
  0789.363_0266.768V     0788.523_0266.457i   17:40:57.832   -53:41:08.28
  0789.820_0685.282V     0789.174_0685.152i   17:40:57.610   -53:37:40.43
  0790.149_0488.277V     0789.265_0488.195i   17:40:57.745   -53:39:18.27
  0790.400_0604.069V     0789.540_0603.899i   17:40:57.691   -53:38:20.76
  0790.473_0596.205V     0789.660_0596.119i   17:40:57.699   -53:38:24.66
  0790.799_0477.619V     0789.899_0477.619i   17:40:57.788   -53:39:23.56
  0790.823_0157.314V     0790.063_0157.211i   17:40:57.978   -53:42:02.63
  0791.061_0473.622V     0790.305_0473.646i   17:40:57.805   -53:39:25.54
  0791.962_0395.430V     0791.111_0395.404i   17:40:57.901   -53:40:04.37
  0792.092_0518.571V     0791.112_0518.611i   17:40:57.836   -53:39:03.21
  0792.286_0140.014V     0791.652_0139.861i   17:40:58.070   -53:42:11.22
  0792.286_0770.529V     0791.474_0770.420i   17:40:57.698   -53:36:58.08
  0792.315_0417.323V     0791.593_0417.448i   17:40:57.908   -53:39:53.49
  0792.778_0056.271V     0791.877_0056.135i   17:40:58.147   -53:42:52.80
  0792.800_0275.260V     0792.111_0275.238i   17:40:58.019   -53:41:04.05
  0792.838_0445.667V     0792.033_0445.649i   17:40:57.920   -53:39:39.42
  0793.461_1110.227V     0792.723_1110.148i   17:40:57.563   -53:34:09.37
  0793.795_0086.464V     0793.008_0086.408i   17:40:58.186   -53:42:37.80
  0794.193_0808.396V     0793.461_0808.419i   17:40:57.782   -53:36:39.26
  0794.513_0508.289V     0793.644_0508.296i   17:40:57.977   -53:39:08.31
  0794.798_0551.364V     0793.953_0551.340i   17:40:57.967   -53:38:46.91
  0795.072_0604.695V     0794.204_0604.692i   17:40:57.951   -53:38:20.42
  0795.947_0386.656V     0795.180_0386.574i   17:40:58.129   -53:40:08.71
  0796.060_0625.872V     0795.253_0625.820i   17:40:57.994   -53:38:09.90
  0796.138_0420.931V     0795.548_0420.862i   17:40:58.119   -53:39:51.68
  0796.831_0459.158V     0796.001_0459.167i   17:40:58.136   -53:39:32.69
  0796.984_0371.190V     0796.239_0371.011i   17:40:58.196   -53:40:16.38
  0797.084_0264.905V     0796.275_0264.783i   17:40:58.265   -53:41:09.17
  0797.113_0176.211V     0796.305_0176.170i   17:40:58.319   -53:41:53.22
  0797.450_0311.681V     0796.518_0311.608i   17:40:58.257   -53:40:45.93
  0797.469_0745.073V     0796.500_0745.049i   17:40:58.002   -53:37:10.69
  0797.542_0352.442V     0796.853_0352.563i   17:40:58.238   -53:40:25.69
  0797.664_0058.024V     0796.886_0057.982i   17:40:58.420   -53:42:51.91
  0797.683_1015.051V     0796.919_1015.062i   17:40:57.855   -53:34:56.61
  0797.882_0796.979V     0797.009_0797.143i   17:40:57.995   -53:36:44.91
  0797.972_0337.238V     0797.039_0337.112i   17:40:58.272   -53:40:33.24
  0798.044_0409.389V     0797.162_0409.219i   17:40:58.233   -53:39:57.40
  0798.103_0249.163V     0796.461_0249.544i   17:40:58.331   -53:41:16.98
  0798.462_0874.613V     0797.663_0874.574i   17:40:57.981   -53:36:06.35
  0798.939_0049.240V     0798.028_0049.278i   17:40:58.496   -53:42:56.26
  0799.415_0023.887V     0798.664_0023.846i   17:40:58.538   -53:43:08.85
  0800.172_0300.222V     0799.365_0300.068i   17:40:58.416   -53:40:51.61
  0800.194_0374.590V     0799.362_0374.544i   17:40:58.374   -53:40:14.68
  0800.473_0172.191V     0799.543_0172.160i   17:40:58.509   -53:41:55.19
  0800.514_0330.319V     0799.659_0330.238i   17:40:58.418   -53:40:36.66
  0800.687_0545.952V     0799.761_0545.905i   17:40:58.300   -53:38:49.57
  0801.066_0366.982V     0800.164_0366.952i   17:40:58.427   -53:40:18.45
  0801.398_0217.978V     0800.581_0218.078i   17:40:58.534   -53:41:32.45
  0801.830_0247.247V     0799.814_0247.714i   17:40:58.541   -53:41:17.91
  0801.889_0929.816V     0801.237_0929.806i   17:40:58.140   -53:35:38.92
  0802.732_0472.706V     0802.057_0472.721i   17:40:58.457   -53:39:25.93
  0802.811_1017.612V     0802.053_1017.613i   17:40:58.139   -53:34:55.31
  0803.062_0614.459V     0802.115_0614.414i   17:40:58.392   -53:38:15.53
  0803.901_0346.192V     0803.071_0346.200i   17:40:58.598   -53:40:28.76
  0804.035_0123.453V     0803.277_0123.395i   17:40:58.737   -53:42:19.38
  0805.138_0243.154V     0804.204_0243.370i   17:40:58.728   -53:41:19.93
  0805.420_0408.493V     0804.679_0408.395i   17:40:58.646   -53:39:57.81
  0805.720_0098.459V     0804.967_0098.527i   17:40:58.846   -53:42:31.78
  0806.006_0226.974V     0805.191_0226.915i   17:40:58.786   -53:41:27.96
  0806.168_0993.562V     0805.472_0993.558i   17:40:58.341   -53:35:07.24
  0806.694_0457.178V     0805.919_0457.047i   17:40:58.688   -53:39:33.63
  0806.819_0520.502V     0806.007_0520.492i   17:40:58.657   -53:39:02.18
  0806.943_0186.705V     0806.255_0186.759i   17:40:58.862   -53:41:47.95
  0807.057_0507.152V     0806.036_0507.423i   17:40:58.678   -53:39:08.80
  0807.127_0724.204V     0806.310_0724.186i   17:40:58.554   -53:37:21.01
  0807.245_0452.246V     0806.390_0452.181i   17:40:58.722   -53:39:36.07
  0807.375_1050.690V     0806.768_1050.584i   17:40:58.374   -53:34:38.86
  0807.601_0288.425V     0806.810_0288.341i   17:40:58.839   -53:40:57.43
  0808.265_0385.486V     0807.384_0385.455i   17:40:58.818   -53:40:09.22
  0808.323_0604.668V     0807.609_0604.590i   17:40:58.691   -53:38:20.37
  0808.715_0218.621V     0807.875_0218.428i   17:40:58.942   -53:41:32.09
  0808.755_0440.819V     0807.929_0440.785i   17:40:58.813   -53:39:41.74
  0808.828_0889.684V     0808.132_0889.718i   17:40:58.551   -53:35:58.82
  0808.899_0037.981V     0808.158_0037.931i   17:40:59.060   -53:43:01.80
  0808.993_0579.090V     0808.230_0579.059i   17:40:58.744   -53:38:33.07
  0809.721_0143.713V     0808.956_0143.706i   17:40:59.043   -53:42:09.29
  0810.290_0259.258V     0809.750_0259.652i   17:40:59.006   -53:41:11.90
  0810.818_0466.353V     0810.034_0466.348i   17:40:58.913   -53:39:29.05
  0810.897_0862.592V     0810.038_0862.579i   17:40:58.682   -53:36:12.26
  0811.523_0252.053V     0810.799_0251.859i   17:40:59.080   -53:41:15.47
  0812.347_0680.675V     0811.563_0680.674i   17:40:58.871   -53:37:42.60
  0812.664_0627.324V     0811.820_0627.277i   17:40:58.920   -53:38:09.09
  0812.712_0155.176V     0811.858_0155.007i   17:40:59.204   -53:42:03.58
  0813.434_0351.820V     0812.645_0351.718i   17:40:59.127   -53:40:25.91
  0813.651_0562.688V     0812.795_0562.736i   17:40:59.014   -53:38:41.19
  0813.719_0133.083V     0813.001_0133.074i   17:40:59.273   -53:42:14.55
  0813.820_0072.032V     0813.092_0071.888i   17:40:59.315   -53:42:44.87
  0813.995_0877.458V     0813.234_0877.403i   17:40:58.846   -53:36:04.86
  0814.103_0657.850V     0813.308_0657.860i   17:40:58.983   -53:37:53.92
  0814.658_0333.166V     0813.871_0333.121i   17:40:59.207   -53:40:35.17
  0814.673_0450.194V     0813.894_0450.198i   17:40:59.138   -53:39:37.05
  0815.233_0930.889V     0814.517_0930.872i   17:40:58.884   -53:35:38.32
  0815.364_0458.319V     0814.604_0458.369i   17:40:59.172   -53:39:33.01
  0815.837_0312.213V     0815.047_0312.151i   17:40:59.285   -53:40:45.57
  0815.837_0462.094V     0815.007_0462.116i   17:40:59.196   -53:39:31.14
  0815.908_1088.708V     0815.211_1088.613i   17:40:58.828   -53:34:19.94
  0815.919_0664.336V     0815.116_0664.292i   17:40:59.080   -53:37:50.69
  0816.180_0529.682V     0815.355_0529.585i   17:40:59.175   -53:38:57.57
  0816.196_0035.248V     0815.501_0035.121i   17:40:59.470   -53:43:03.12
  0816.362_0125.267V     0815.561_0125.269i   17:40:59.426   -53:42:18.41
  0816.471_0737.078V     0815.731_0737.093i   17:40:59.068   -53:37:14.56
  0816.920_0606.548V     0816.145_0606.623i   17:40:59.170   -53:38:19.39
  0817.783_0470.897V     0816.959_0470.973i   17:40:59.299   -53:39:26.75
  0817.915_0359.508V     0817.204_0359.493i   17:40:59.373   -53:40:22.07
  0818.490_0268.025V     0818.133_0267.755i   17:40:59.460   -53:41:07.50
  0819.006_0015.971V     0818.413_0016.020i   17:40:59.639   -53:43:12.68
  0819.951_0980.509V     0819.131_0980.382i   17:40:59.117   -53:35:13.65
  0820.425_0584.453V     0819.809_0584.463i   17:40:59.379   -53:38:30.34
  0820.587_0277.027V     0819.815_0276.992i   17:40:59.571   -53:41:03.02
  0821.274_0439.980V     0820.400_0439.953i   17:40:59.513   -53:39:42.09
  0821.538_0354.428V     0820.756_0354.224i   17:40:59.578   -53:40:24.58
  0821.580_0467.115V     0820.934_0467.016i   17:40:59.514   -53:39:28.61
  0821.817_0330.170V     0820.964_0329.853i   17:40:59.609   -53:40:36.62
  0822.533_0190.704V     0821.786_0190.781i   17:40:59.732   -53:41:45.88
  0822.828_0345.374V     0822.004_0345.369i   17:40:59.656   -53:40:29.07
  0823.052_0566.154V     0822.427_0566.181i   17:40:59.537   -53:38:39.42
  0823.391_0362.219V     0822.620_0362.218i   17:40:59.677   -53:40:20.70
  0823.532_1079.847V     0822.841_1079.762i   17:40:59.258   -53:34:24.30
  0823.537_0264.011V     0822.796_0263.775i   17:40:59.744   -53:41:09.47
  0823.724_0405.661V     0822.866_0405.598i   17:40:59.670   -53:39:59.12
  0824.059_0920.184V     0823.310_0920.310i   17:40:59.382   -53:35:43.59
  0824.135_0778.886V     0823.126_0778.787i   17:40:59.471   -53:36:53.76
  0824.190_1068.781V     0823.493_1068.642i   17:40:59.301   -53:34:29.79
  0824.633_0116.217V     0823.850_0116.154i   17:40:59.894   -53:42:22.87
  0824.640_0689.213V     0823.848_0689.151i   17:40:59.552   -53:37:38.29
  0824.684_0653.881V     0823.951_0653.929i   17:40:59.576   -53:37:55.84
  0824.939_0396.830V     0824.143_0396.801i   17:40:59.743   -53:40:03.50
  0824.995_0150.120V     0824.262_0150.163i   17:40:59.894   -53:42:06.03
  0825.593_0634.299V     0824.746_0634.349i   17:40:59.638   -53:38:05.56
  0826.506_0085.141V     0825.840_0085.104i   17:41:00.017   -53:42:38.29
  0826.600_0717.196V     0825.943_0717.018i   17:40:59.645   -53:37:24.39
  0826.664_0293.329V     0825.861_0293.268i   17:40:59.901   -53:40:54.89
  0826.914_0137.334V     0826.144_0137.297i   17:41:00.009   -53:42:12.37
  0827.049_0750.604V     0826.084_0750.732i   17:40:59.650   -53:37:07.79
  0827.310_0457.285V     0826.375_0457.307i   17:40:59.840   -53:39:33.46
  0827.389_0224.500V     0826.695_0224.508i   17:40:59.983   -53:41:29.07
  0828.965_0414.462V     0828.104_0414.514i   17:40:59.958   -53:39:54.72
  0829.198_0616.020V     0828.418_0616.116i   17:40:59.850   -53:38:14.62
  0829.396_0331.487V     0828.536_0331.647i   17:41:00.031   -53:40:35.93
  0829.697_0019.833V     0829.009_0019.841i   17:41:00.235   -53:43:10.71
  0829.786_0181.972V     0829.073_0182.065i   17:41:00.143   -53:41:50.18
  0829.859_0911.660V     0829.197_0911.657i   17:40:59.711   -53:35:47.79
  0829.937_0569.773V     0829.134_0569.809i   17:40:59.919   -53:38:37.58
  0830.341_1071.510V     0829.612_1071.293i   17:40:59.643   -53:34:28.40
  0830.857_0307.865V     0830.057_0307.791i   17:41:00.127   -53:40:47.65
  0831.089_0755.630V     0830.337_0755.580i   17:40:59.873   -53:37:05.27
  0831.120_0915.627V     0830.503_0915.487i   17:40:59.779   -53:35:45.81
  0831.135_0531.845V     0830.328_0531.846i   17:41:00.009   -53:38:56.41
  0831.870_0473.784V     0831.060_0473.901i   17:41:00.085   -53:39:25.25
  0832.230_0300.452V     0831.511_0300.337i   17:41:00.208   -53:40:51.33
  0832.470_0490.494V     0831.692_0490.557i   17:41:00.108   -53:39:16.94
  0832.623_0392.544V     0831.808_0392.583i   17:41:00.175   -53:40:05.59
  0833.409_0671.431V     0832.666_0671.403i   17:41:00.052   -53:37:47.08
  0833.465_0137.884V     0832.620_0137.879i   17:41:00.375   -53:42:12.06
  0834.325_0502.699V     0833.492_0502.667i   17:41:00.204   -53:39:10.87
  0834.342_0571.398V     0833.440_0571.323i   17:41:00.164   -53:38:36.75
  0835.140_0481.563V     0834.342_0481.659i   17:41:00.263   -53:39:21.36
  0835.230_0267.656V     0833.749_0268.074i   17:41:00.396   -53:41:07.60
  0835.944_0799.427V     0835.106_0799.371i   17:41:00.117   -53:36:43.50
  0836.003_0487.114V     0835.211_0487.245i   17:41:00.307   -53:39:18.60
  0836.289_0630.863V     0835.498_0630.847i   17:41:00.237   -53:38:07.21
  0836.319_0041.153V     0835.746_0040.803i   17:41:00.592   -53:43:00.08
  0836.966_0208.935V     0836.183_0208.913i   17:41:00.528   -53:41:36.75
  0837.038_0525.219V     0836.042_0525.336i   17:41:00.342   -53:38:59.67
  0837.110_1078.715V     0836.452_1078.615i   17:41:00.016   -53:34:24.79
  0838.197_0401.574V     0837.851_0401.613i   17:41:00.481   -53:40:01.07
  0838.601_0352.000V     0837.824_0351.907i   17:41:00.534   -53:40:25.69
  0839.237_0169.003V     0838.521_0168.915i   17:41:00.679   -53:41:56.57
  0839.599_1103.951V     0839.064_1103.828i   17:41:00.139   -53:34:12.24
  0840.032_0449.534V     0839.196_0449.400i   17:41:00.555   -53:39:37.25
  0840.449_0619.056V     0839.745_0618.638i   17:41:00.477   -53:38:13.05
  0840.454_0457.135V     0839.649_0457.201i   17:41:00.574   -53:39:33.47
  0841.583_0241.725V     0840.970_0241.681i   17:41:00.766   -53:41:20.44
  0842.413_0751.795V     0841.623_0751.825i   17:41:00.507   -53:37:07.12
  0842.621_0143.831V     0841.808_0143.793i   17:41:00.883   -53:42:09.06
  0842.857_0283.757V     0842.089_0283.773i   17:41:00.812   -53:40:59.56
  0842.937_0446.640V     0842.203_0446.570i   17:41:00.719   -53:39:38.67
  0843.698_0622.012V     0842.716_0621.996i   17:41:00.656   -53:38:11.57
  0843.846_0871.374V     0843.125_0871.355i   17:41:00.515   -53:36:07.72
  0844.367_0340.267V     0843.534_0340.040i   17:41:00.863   -53:40:31.49
  0844.701_0668.815V     0843.772_0668.812i   17:41:00.684   -53:37:48.32
  0844.797_0333.871V     0844.129_0333.572i   17:41:00.891   -53:40:34.66
  0844.837_0934.860V     0844.077_0935.029i   17:41:00.533   -53:35:36.19
  0844.945_0418.888V     0844.189_0418.712i   17:41:00.848   -53:39:52.44
  0845.940_0257.242V     0845.231_0257.140i   17:41:01.001   -53:41:12.71
  0846.057_0696.860V     0845.253_0696.779i   17:41:00.743   -53:37:34.38
  0846.080_0510.536V     0847.242_0512.051i   17:41:00.856   -53:39:06.92
  0846.390_0302.586V     0845.569_0302.535i   17:41:00.999   -53:40:50.19
  0846.495_0343.643V     0845.634_0343.351i   17:41:00.980   -53:40:29.80
  0846.697_0500.064V     0846.104_0500.207i   17:41:00.897   -53:39:12.11
  0846.847_0576.457V     0846.059_0576.453i   17:41:00.860   -53:38:34.17
  0847.767_0142.772V     0846.870_0142.697i   17:41:01.172   -53:42:09.55
  0847.949_0721.836V     0847.252_0721.922i   17:41:00.834   -53:37:21.97
  0848.216_0749.967V     0847.198_0749.782i   17:41:00.832   -53:37:08.00
  0848.388_0632.560V     0847.303_0632.334i   17:41:00.912   -53:38:06.30
  0848.471_0404.355V     0847.728_0404.223i   17:41:01.054   -53:39:59.64
  0848.504_0037.390V     0847.498_0037.839i   17:41:01.276   -53:43:01.89
  0849.473_0681.425V     0848.726_0681.483i   17:41:00.943   -53:37:42.03
  0849.522_0024.569V     0848.762_0024.557i   17:41:01.341   -53:43:08.25
  0849.721_1104.964V     0848.984_1104.838i   17:41:00.703   -53:34:11.68
  0850.423_1086.852V     0849.650_1086.704i   17:41:00.753   -53:34:20.67
  0850.725_0507.781V     0849.895_0507.741i   17:41:01.118   -53:39:08.26
  0850.852_0596.500V     0849.911_0596.328i   17:41:01.071   -53:38:24.20
  0851.074_0335.249V     0850.319_0335.121i   17:41:01.241   -53:40:33.94
  0851.430_0278.409V     0850.709_0278.301i   17:41:01.295   -53:41:02.17
  0851.551_0870.813V     0850.807_0870.756i   17:41:00.946   -53:36:07.96
  0851.891_0470.512V     0851.060_0470.474i   17:41:01.205   -53:39:26.76
  0852.136_0766.415V     0851.306_0766.438i   17:41:01.041   -53:36:59.81
  0852.487_0962.473V     0851.613_0962.341i   17:41:00.943   -53:35:22.43
  0852.711_0238.918V     0852.105_0238.902i   17:41:01.390   -53:41:21.78
  0852.969_0175.669V     0852.077_0175.630i   17:41:01.443   -53:41:53.19
  0854.468_0621.048V     0853.711_0620.824i   17:41:01.258   -53:38:11.99
  0854.495_0566.978V     0853.715_0567.034i   17:41:01.292   -53:38:38.84
  0854.945_0482.681V     0854.126_0482.687i   17:41:01.368   -53:39:20.70
  0855.287_0305.967V     0854.432_0306.041i   17:41:01.494   -53:40:48.46
  0855.318_0758.327V     0854.061_0759.768i   17:41:01.223   -53:37:03.81
  0855.432_0433.516V     0854.538_0433.419i   17:41:01.425   -53:39:45.12
  0855.572_0792.726V     0854.703_0792.848i   17:41:01.217   -53:36:46.72
  0855.685_0560.801V     0854.868_0560.816i   17:41:01.363   -53:38:41.90
  0855.703_0361.420V     0854.771_0361.381i   17:41:01.484   -53:40:20.92
  0856.520_0738.634V     0855.720_0738.634i   17:41:01.302   -53:37:13.58
  0856.779_0231.773V     0855.904_0231.690i   17:41:01.622   -53:41:25.30
  0856.962_0169.456V     0855.967_0169.299i   17:41:01.670   -53:41:56.25
  0857.692_0315.495V     0856.873_0315.402i   17:41:01.623   -53:40:43.72
  0857.896_0209.932V     0857.081_0209.888i   17:41:01.698   -53:41:36.15
  0858.070_0518.376V     0857.041_0518.501i   17:41:01.521   -53:39:02.96
  0858.086_0510.365V     0857.094_0510.417i   17:41:01.527   -53:39:06.94
  0858.252_0117.567V     0857.464_0117.520i   17:41:01.773   -53:42:22.02
  0858.545_0906.590V     0857.742_0906.406i   17:41:01.314   -53:35:50.16
  0858.896_0409.019V     0858.072_0408.968i   17:41:01.634   -53:39:57.27
  0859.569_0368.756V     0858.755_0368.687i   17:41:01.695   -53:40:17.26
  0859.645_0910.298V     0858.769_0910.283i   17:41:01.373   -53:35:48.31
  0859.837_0545.595V     0858.979_0545.616i   17:41:01.604   -53:38:49.43
  0860.261_0101.946V     0859.379_0101.869i   17:41:01.895   -53:42:29.76
  0860.385_0712.622V     0859.623_0712.674i   17:41:01.534   -53:37:26.48
  0860.465_0637.522V     0859.618_0637.541i   17:41:01.583   -53:38:03.77
  0860.562_0836.291V     0859.749_0836.424i   17:41:01.469   -53:36:25.06
  0861.326_0435.647V     0860.571_0435.501i   17:41:01.753   -53:39:44.03
  0861.424_0402.693V     0860.598_0402.667i   17:41:01.779   -53:40:00.39
  0861.590_0513.861V     0860.755_0513.841i   17:41:01.721   -53:39:05.18
